,LapNumber,LapTime,TyreLife,TrackTemp,Compound,Year,Stint
1,2.0,96.761,5.0,53.1,SOFT,2018,1
2,3.0,95.486,6.0,53.0,SOFT,2018,1
3,4.0,95.173,7.0,52.6,SOFT,2018,1
4,5.0,94.975,8.0,53.1,SOFT,2018,1
5,6.0,93.772,9.0,53.3,SOFT,2018,1
6,7.0,94.131,10.0,53.5,SOFT,2018,1
7,8.0,93.461,11.0,53.1,SOFT,2018,1
8,9.0,93.653,12.0,52.8,SOFT,2018,1
9,10.0,94.523,13.0,52.7,SOFT,2018,1
10,11.0,93.403,14.0,52.9,SOFT,2018,1
11,12.0,93.114,15.0,53.1,SOFT,2018,1
12,13.0,94.233,16.0,53.1,SOFT,2018,1
13,14.0,93.731,17.0,52.1,SOFT,2018,1
14,15.0,93.71,18.0,53.1,SOFT,2018,1
15,16.0,93.287,19.0,53.0,SOFT,2018,1
16,17.0,93.531,20.0,52.9,SOFT,2018,1
17,18.0,92.93,21.0,52.9,SOFT,2018,1
18,19.0,92.821,22.0,52.6,SOFT,2018,1
19,20.0,93.154,23.0,53.1,SOFT,2018,1
20,21.0,93.741,24.0,53.1,SOFT,2018,1
21,22.0,93.913,25.0,53.1,SOFT,2018,1
22,23.0,95.225,26.0,53.2,SOFT,2018,1
23,24.0,94.62,27.0,53.7,SOFT,2018,1
24,25.0,93.916,28.0,53.8,SOFT,2018,1
25,26.0,113.205,1.0,53.5,MEDIUM,2018,2
26,27.0,92.481,2.0,54.0,MEDIUM,2018,2
27,28.0,91.682,3.0,54.1,MEDIUM,2018,2
28,29.0,91.546,4.0,52.1,MEDIUM,2018,2
29,30.0,92.156,5.0,52.1,MEDIUM,2018,2
30,31.0,91.81,6.0,53.2,MEDIUM,2018,2
31,32.0,93.269,7.0,53.2,MEDIUM,2018,2
32,33.0,124.711,8.0,53.2,MEDIUM,2018,2
33,34.0,128.219,9.0,52.5,MEDIUM,2018,2
34,35.0,144.85,10.0,50.8,MEDIUM,2018,2
35,36.0,143.019,11.0,49.4,MEDIUM,2018,2
36,37.0,140.116,12.0,47.9,MEDIUM,2018,2
37,38.0,92.986,13.0,48.9,MEDIUM,2018,2
38,39.0,149.101,14.0,51.4,MEDIUM,2018,2
39,40.0,145.335,15.0,52.1,MEDIUM,2018,2
40,41.0,142.03,16.0,51.9,MEDIUM,2018,2
41,42.0,91.858,17.0,51.9,MEDIUM,2018,2
42,43.0,91.871,18.0,49.4,MEDIUM,2018,2
43,44.0,92.56,19.0,48.8,MEDIUM,2018,2
44,45.0,92.304,20.0,49.8,MEDIUM,2018,2
45,46.0,91.985,21.0,50.2,MEDIUM,2018,2
46,47.0,92.37,22.0,51.0,MEDIUM,2018,2
47,48.0,91.289,23.0,50.5,MEDIUM,2018,2
48,49.0,91.269,24.0,51.5,MEDIUM,2018,2
49,50.0,91.509,25.0,51.6,MEDIUM,2018,2
50,51.0,91.409,26.0,51.8,MEDIUM,2018,2
51,52.0,91.245,27.0,51.8,MEDIUM,2018,2
52,1.0,94.895,5.0,32.2,MEDIUM,2019,1
53,2.0,91.923,6.0,32.1,MEDIUM,2019,1
54,3.0,91.635,7.0,31.7,MEDIUM,2019,1
55,4.0,92.058,8.0,31.7,MEDIUM,2019,1
56,5.0,91.54,9.0,31.5,MEDIUM,2019,1
57,6.0,90.967,10.0,31.3,MEDIUM,2019,1
58,7.0,90.94,11.0,30.9,MEDIUM,2019,1
59,8.0,90.85,12.0,31.1,MEDIUM,2019,1
60,9.0,91.14,13.0,31.3,MEDIUM,2019,1
61,10.0,90.972,14.0,31.2,MEDIUM,2019,1
62,11.0,90.987,15.0,30.9,MEDIUM,2019,1
63,12.0,90.904,16.0,31.6,MEDIUM,2019,1
64,13.0,90.807,17.0,31.8,MEDIUM,2019,1
65,14.0,90.771,18.0,33.1,MEDIUM,2019,1
66,15.0,90.877,19.0,33.9,MEDIUM,2019,1
67,16.0,91.006,20.0,33.9,MEDIUM,2019,1
68,17.0,90.236,21.0,34.2,MEDIUM,2019,1
69,18.0,90.979,22.0,33.9,MEDIUM,2019,1
70,19.0,90.784,23.0,33.9,MEDIUM,2019,1
71,20.0,97.561,24.0,33.4,MEDIUM,2019,1
73,22.0,140.041,2.0,33.6,HARD,2019,2
74,23.0,141.237,3.0,33.6,HARD,2019,2
75,24.0,89.973,4.0,33.3,HARD,2019,2
76,25.0,90.009,5.0,33.3,HARD,2019,2
77,26.0,89.99,6.0,34.2,HARD,2019,2
78,27.0,89.601,7.0,32.9,HARD,2019,2
79,28.0,89.504,8.0,31.4,HARD,2019,2
80,29.0,89.19,9.0,31.4,HARD,2019,2
81,30.0,89.759,10.0,30.8,HARD,2019,2
82,31.0,89.263,11.0,30.7,HARD,2019,2
83,32.0,89.509,12.0,30.5,HARD,2019,2
84,33.0,89.529,13.0,30.4,HARD,2019,2
85,34.0,89.16,14.0,30.2,HARD,2019,2
86,35.0,89.258,15.0,29.8,HARD,2019,2
87,36.0,89.19,16.0,29.6,HARD,2019,2
88,37.0,89.656,17.0,29.6,HARD,2019,2
89,38.0,89.039,18.0,29.1,HARD,2019,2
90,39.0,89.271,19.0,29.0,HARD,2019,2
91,40.0,88.985,20.0,28.5,HARD,2019,2
92,41.0,88.568,21.0,28.2,HARD,2019,2
93,42.0,88.634,22.0,28.2,HARD,2019,2
94,43.0,88.622,23.0,28.1,HARD,2019,2
95,44.0,88.827,24.0,27.7,HARD,2019,2
96,45.0,88.841,25.0,27.6,HARD,2019,2
97,46.0,88.91,26.0,27.7,HARD,2019,2
98,47.0,89.063,27.0,27.6,HARD,2019,2
99,48.0,88.698,28.0,27.5,HARD,2019,2
100,49.0,88.676,29.0,27.5,HARD,2019,2
101,50.0,88.908,30.0,27.5,HARD,2019,2
102,51.0,89.711,31.0,27.8,HARD,2019,2
103,52.0,87.369,32.0,27.8,HARD,2019,2
104,1.0,93.847,4.0,42.0,MEDIUM,2020,1
105,2.0,91.44,5.0,42.6,MEDIUM,2020,1
106,3.0,91.448,6.0,43.0,MEDIUM,2020,1
107,4.0,91.859,7.0,43.1,MEDIUM,2020,1
108,5.0,92.698,8.0,43.0,MEDIUM,2020,1
109,6.0,92.401,9.0,43.1,MEDIUM,2020,1
110,7.0,92.352,10.0,43.1,MEDIUM,2020,1
111,8.0,92.481,11.0,43.6,MEDIUM,2020,1
112,9.0,92.685,12.0,43.4,MEDIUM,2020,1
113,10.0,92.615,13.0,43.8,MEDIUM,2020,1
114,11.0,92.752,14.0,44.0,MEDIUM,2020,1
115,12.0,92.891,15.0,44.0,MEDIUM,2020,1
116,13.0,92.782,16.0,43.5,MEDIUM,2020,1
117,14.0,91.888,17.0,42.9,MEDIUM,2020,1
118,15.0,110.491,1.0,43.5,HARD,2020,2
119,16.0,91.423,2.0,43.6,HARD,2020,2
120,17.0,91.441,3.0,43.6,HARD,2020,2
121,18.0,91.595,4.0,44.0,HARD,2020,2
122,19.0,91.602,5.0,43.6,HARD,2020,2
123,20.0,92.118,6.0,43.6,HARD,2020,2
124,21.0,92.435,7.0,44.0,HARD,2020,2
125,22.0,92.213,8.0,43.8,HARD,2020,2
126,23.0,92.175,9.0,44.5,HARD,2020,2
127,24.0,93.531,10.0,44.6,HARD,2020,2
128,25.0,92.658,11.0,44.6,HARD,2020,2
129,26.0,92.333,12.0,44.4,HARD,2020,2
130,27.0,92.341,13.0,43.7,HARD,2020,2
131,28.0,91.643,14.0,43.4,HARD,2020,2
132,29.0,91.702,15.0,43.6,HARD,2020,2
133,30.0,91.217,16.0,43.6,HARD,2020,2
134,31.0,91.325,17.0,43.6,HARD,2020,2
135,32.0,90.688,18.0,43.6,HARD,2020,2
136,33.0,90.705,19.0,43.2,HARD,2020,2
137,34.0,90.701,20.0,43.5,HARD,2020,2
138,35.0,91.101,21.0,43.7,HARD,2020,2
139,36.0,91.118,22.0,45.0,HARD,2020,2
140,37.0,91.045,23.0,44.3,HARD,2020,2
141,38.0,90.785,24.0,43.7,HARD,2020,2
142,39.0,91.077,25.0,43.7,HARD,2020,2
143,40.0,91.348,26.0,43.6,HARD,2020,2
144,41.0,91.236,27.0,43.7,HARD,2020,2
145,42.0,109.543,1.0,43.7,HARD,2020,3
146,43.0,88.451,2.0,44.1,HARD,2020,3
147,44.0,89.625,3.0,44.3,HARD,2020,3
148,45.0,89.997,4.0,44.1,HARD,2020,3
149,46.0,88.599,5.0,43.9,HARD,2020,3
150,47.0,89.363,6.0,43.7,HARD,2020,3
151,48.0,88.882,7.0,43.7,HARD,2020,3
152,49.0,89.887,8.0,43.6,HARD,2020,3
153,50.0,89.795,9.0,43.2,HARD,2020,3
154,51.0,90.613,10.0,43.3,HARD,2020,3
155,52.0,92.378,11.0,43.5,HARD,2020,3
156,1.0,125.599,2.0,51.8,MEDIUM,2021,1
160,5.0,93.049,3.0,50.6,MEDIUM,2021,1
161,6.0,93.113,4.0,50.9,MEDIUM,2021,1
162,7.0,92.738,5.0,50.9,MEDIUM,2021,1
163,8.0,92.928,6.0,50.9,MEDIUM,2021,1
164,9.0,93.013,7.0,50.8,MEDIUM,2021,1
165,10.0,93.458,8.0,51.1,MEDIUM,2021,1
166,11.0,92.95,9.0,51.3,MEDIUM,2021,1
167,12.0,92.943,10.0,50.4,MEDIUM,2021,1
168,13.0,93.158,11.0,50.9,MEDIUM,2021,1
169,14.0,92.749,12.0,50.9,MEDIUM,2021,1
170,15.0,92.713,13.0,50.9,MEDIUM,2021,1
171,16.0,92.473,14.0,50.8,MEDIUM,2021,1
172,17.0,92.291,15.0,49.9,MEDIUM,2021,1
173,18.0,92.548,16.0,49.9,MEDIUM,2021,1
174,19.0,92.597,17.0,50.8,MEDIUM,2021,1
175,20.0,92.076,18.0,50.8,MEDIUM,2021,1
176,21.0,92.297,19.0,50.4,MEDIUM,2021,1
177,22.0,92.189,20.0,50.3,MEDIUM,2021,1
178,23.0,92.311,21.0,50.5,MEDIUM,2021,1
179,24.0,92.686,22.0,50.4,MEDIUM,2021,1
180,25.0,92.115,23.0,49.8,MEDIUM,2021,1
181,26.0,91.854,24.0,49.5,MEDIUM,2021,1
182,27.0,92.852,25.0,49.6,MEDIUM,2021,1
183,28.0,123.392,1.0,49.8,HARD,2021,2
184,29.0,90.762,2.0,49.9,HARD,2021,2
185,30.0,91.113,3.0,49.6,HARD,2021,2
186,31.0,91.257,4.0,49.5,HARD,2021,2
187,32.0,92.488,5.0,50.1,HARD,2021,2
188,33.0,92.038,6.0,49.8,HARD,2021,2
189,34.0,91.219,7.0,49.8,HARD,2021,2
190,35.0,90.817,8.0,49.5,HARD,2021,2
191,36.0,91.025,9.0,49.4,HARD,2021,2
192,37.0,90.807,10.0,49.3,HARD,2021,2
193,38.0,90.594,11.0,49.2,HARD,2021,2
194,39.0,90.859,12.0,49.2,HARD,2021,2
195,40.0,90.443,13.0,49.2,HARD,2021,2
196,41.0,90.468,14.0,49.7,HARD,2021,2
197,42.0,90.16,15.0,49.6,HARD,2021,2
198,43.0,90.258,16.0,49.1,HARD,2021,2
199,44.0,89.801,17.0,49.3,HARD,2021,2
200,45.0,89.699,18.0,49.2,HARD,2021,2
201,46.0,89.701,19.0,49.2,HARD,2021,2
202,47.0,90.52,20.0,49.3,HARD,2021,2
203,48.0,90.503,21.0,49.2,HARD,2021,2
204,49.0,90.525,22.0,48.8,HARD,2021,2
205,50.0,90.9,23.0,48.6,HARD,2021,2
206,51.0,91.037,24.0,48.6,HARD,2021,2
207,52.0,91.635,25.0,48.3,HARD,2021,2
208,1.0,146.223,1.0,28.0,MEDIUM,2022,1
210,3.0,145.614,2.0,32.8,MEDIUM,2022,1
211,4.0,95.27,3.0,33.1,MEDIUM,2022,1
212,5.0,95.12,4.0,33.5,MEDIUM,2022,1
213,6.0,93.731,5.0,33.3,MEDIUM,2022,1
214,7.0,93.955,6.0,33.3,MEDIUM,2022,1
215,8.0,93.679,7.0,33.5,MEDIUM,2022,1
216,9.0,93.704,8.0,32.2,MEDIUM,2022,1
217,10.0,93.338,9.0,32.2,MEDIUM,2022,1
218,11.0,93.335,10.0,31.9,MEDIUM,2022,1
219,12.0,94.09,11.0,32.1,MEDIUM,2022,1
220,13.0,93.212,12.0,32.1,MEDIUM,2022,1
221,14.0,93.226,13.0,32.1,MEDIUM,2022,1
222,15.0,93.042,14.0,31.6,MEDIUM,2022,1
223,16.0,92.973,15.0,32.0,MEDIUM,2022,1
224,17.0,93.168,16.0,32.3,MEDIUM,2022,1
225,18.0,92.92,17.0,31.9,MEDIUM,2022,1
226,19.0,92.592,18.0,31.8,MEDIUM,2022,1
227,20.0,92.85,19.0,31.6,MEDIUM,2022,1
228,21.0,92.833,20.0,31.5,MEDIUM,2022,1
229,22.0,92.435,21.0,31.3,MEDIUM,2022,1
230,23.0,92.65,22.0,31.2,MEDIUM,2022,1
231,24.0,92.782,23.0,31.4,MEDIUM,2022,1
232,25.0,92.723,24.0,32.0,MEDIUM,2022,1
233,26.0,92.655,25.0,32.3,MEDIUM,2022,1
234,27.0,92.445,26.0,33.1,MEDIUM,2022,1
235,28.0,92.265,27.0,34.1,MEDIUM,2022,1
236,29.0,92.442,28.0,32.9,MEDIUM,2022,1
237,30.0,92.541,29.0,32.8,MEDIUM,2022,1
238,31.0,92.676,30.0,32.3,MEDIUM,2022,1
239,32.0,92.079,31.0,32.5,MEDIUM,2022,1
240,33.0,92.256,32.0,32.1,MEDIUM,2022,1
