Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,Year,StartingPosition
SIR,Williams,2.0,149.412,17.0,1,1.0,MEDIUM,True,4,,0 days 00:09:39.415000,False,35.0,16.0,52.9,True,2018,19.0
HAM,Mercedes,3.0,132.826,1.0,1,4.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,1.0
VET,Ferrari,3.0,133.906,2.0,1,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,3.0
BOT,Mercedes,3.0,132.648,3.0,2,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,2.0
RAI,Ferrari,3.0,133.153,4.0,3,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,4.0
VER,Red Bull Racing,3.0,133.094,5.0,4,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,5.0
RIC,Red Bull Racing,3.0,133.445,6.0,5,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,6.0
MAG,Haas F1 Team,3.0,133.292,7.0,5,6.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,7.0
SAI,Renault,3.0,133.005,8.0,6,6.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,9.0
LEC,Sauber,3.0,131.588,9.0,7,2.0,SOFT,True,4,,,False,35.6,16.3,51.0,True,2018,14.0
OCO,Force India,3.0,131.58,10.0,8,2.0,SOFT,True,4,,,False,35.6,16.3,51.0,True,2018,13.0
ALO,McLaren,3.0,132.147,11.0,8,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,8.0
STR,Williams,3.0,132.536,12.0,9,2.0,SOFT,True,4,,,False,35.6,16.3,51.0,True,2018,18.0
PER,Force India,3.0,132.716,13.0,10,2.0,SOFT,True,4,,,False,35.6,16.3,51.0,True,2018,15.0
VAN,McLaren,3.0,134.185,14.0,10,5.0,SOFT,False,4,,,False,35.6,16.3,51.0,True,2018,11.0
ERI,Sauber,3.0,134.154,15.0,11,2.0,MEDIUM,True,4,,,False,35.6,16.3,51.0,True,2018,17.0
HAR,Toro Rosso,3.0,135.104,16.0,12,2.0,MEDIUM,True,4,,,False,35.6,16.3,51.0,True,2018,20.0
SIR,Williams,3.0,134.646,17.0,13,2.0,MEDIUM,True,4,,,False,35.6,16.3,51.0,True,2018,19.0
HAM,Mercedes,4.0,128.778,1.0,13,5.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,1.0
VET,Ferrari,4.0,128.681,2.0,13,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,3.0
BOT,Mercedes,4.0,128.556,3.0,14,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,2.0
RAI,Ferrari,4.0,128.36,4.0,15,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,4.0
VER,Red Bull Racing,4.0,127.521,5.0,16,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,5.0
RIC,Red Bull Racing,4.0,128.545,6.0,17,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,6.0
MAG,Haas F1 Team,4.0,128.069,7.0,17,7.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,7.0
SAI,Renault,4.0,129.088,8.0,18,7.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,9.0
LEC,Sauber,4.0,129.653,9.0,19,3.0,SOFT,True,4,,,False,34.0,15.9,52.0,True,2018,14.0
OCO,Force India,4.0,130.739,10.0,20,3.0,SOFT,True,4,,,False,34.0,15.9,52.0,True,2018,13.0
ALO,McLaren,4.0,130.994,11.0,20,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,8.0
STR,Williams,4.0,132.029,12.0,21,3.0,SOFT,True,4,,,False,34.0,15.9,52.0,True,2018,18.0
PER,Force India,4.0,134.212,13.0,22,3.0,SOFT,True,4,,,False,34.0,15.9,52.0,True,2018,15.0
VAN,McLaren,4.0,133.553,14.0,22,6.0,SOFT,False,4,,,False,34.0,15.9,52.0,True,2018,11.0
ERI,Sauber,4.0,134.428,15.0,23,3.0,MEDIUM,True,4,,,False,34.0,15.9,52.0,True,2018,17.0
HAR,Toro Rosso,4.0,133.809,16.0,24,3.0,MEDIUM,True,4,,,False,34.0,15.9,52.0,True,2018,20.0
SIR,Williams,4.0,133.632,17.0,25,3.0,MEDIUM,True,4,,,False,34.0,15.9,52.0,True,2018,19.0
HAM,Mercedes,5.0,130.44,1.0,25,6.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,1.0
VET,Ferrari,5.0,129.827,2.0,25,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,3.0
BOT,Mercedes,5.0,130.238,3.0,26,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,2.0
RAI,Ferrari,5.0,130.206,4.0,27,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,4.0
VER,Red Bull Racing,5.0,131.713,5.0,28,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,5.0
RIC,Red Bull Racing,5.0,130.178,6.0,29,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,6.0
MAG,Haas F1 Team,5.0,130.421,7.0,29,8.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,7.0
SAI,Renault,5.0,129.964,8.0,30,8.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,9.0
LEC,Sauber,5.0,129.851,9.0,31,4.0,SOFT,True,4,,,False,35.6,16.0,52.6,True,2018,14.0
OCO,Force India,5.0,129.448,10.0,32,4.0,SOFT,True,4,,,False,35.6,16.0,52.6,True,2018,13.0
ALO,McLaren,5.0,129.899,11.0,32,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,8.0
STR,Williams,5.0,129.024,12.0,33,4.0,SOFT,True,4,,,False,35.6,16.0,52.6,True,2018,18.0
PER,Force India,5.0,127.474,13.0,34,4.0,SOFT,True,4,,,False,35.6,16.0,52.6,True,2018,15.0
VAN,McLaren,5.0,127.695,14.0,34,7.0,SOFT,False,4,,,False,35.6,16.0,52.6,True,2018,11.0
ERI,Sauber,5.0,126.527,15.0,35,4.0,MEDIUM,True,4,,,False,35.6,16.0,52.6,True,2018,17.0
HAR,Toro Rosso,5.0,126.671,16.0,36,4.0,MEDIUM,True,4,,,False,35.6,16.0,52.6,True,2018,20.0
SIR,Williams,5.0,127.41,17.0,37,4.0,MEDIUM,True,4,,,False,35.6,16.0,52.6,True,2018,19.0
HAM,Mercedes,6.0,133.88,1.0,37,7.0,SOFT,False,41,,,False,36.5,16.4,51.8,False,2018,1.0
