Driver,Team,LapNumber,LapTime,Position,Stint,TyreLife,Compound,FreshTyre,TrackStatus,PitInTime,PitOutTime,IsAccurate,TrackTemp,AirTemp,Humidity,Rainfall,IsInLap,IsOutLap,IsSC,IsVSC,Year,StartingPosition,LapTimeDelta,LapTime_lag1,LapTime_lag2,LapTime_lag3,PaceVsMedian,FuelLoad,GroudEffectEra,IsRestartLap
ALO,McLaren,2.0,96.9,11.0,1.0,1.0,SOFT,True,12,,,True,53.1,27.1,38.7,False,False,False,False,False,2018,13.0,,,,,0.16250000000000853,0.9615384615384616,False,False
ALO,McLaren,3.0,95.875,11.0,1.0,2.0,SOFT,True,12,,,True,53.0,27.4,38.7,False,False,False,False,False,2018,13.0,-1.0250000000000057,96.9,,,0.46699999999999875,0.9423076923076923,False,False
ALO,McLaren,4.0,96.474,11.0,1.0,3.0,SOFT,True,1,,,True,52.6,27.2,39.4,False,False,False,False,False,2018,13.0,0.5990000000000038,95.875,96.9,,1.0690000000000026,0.9230769230769231,False,False
ALO,McLaren,5.0,96.797,12.0,1.0,4.0,SOFT,True,1,,,True,53.1,27.0,39.5,False,False,False,False,False,2018,13.0,0.3229999999999933,96.474,95.875,96.9,1.1069999999999993,0.9038461538461539,False,False
ALO,McLaren,6.0,96.084,12.0,1.0,5.0,SOFT,True,1,,,True,53.3,27.5,38.7,False,False,False,False,False,2018,13.0,-0.7129999999999939,96.797,96.474,95.875,0.3780000000000001,0.8846153846153846,False,False
ALO,McLaren,7.0,95.956,12.0,1.0,6.0,SOFT,True,1,,,True,53.5,27.5,38.4,False,False,False,False,False,2018,13.0,-0.1280000000000001,96.084,96.797,96.474,0.12700000000000955,0.8653846153846154,False,False
ALO,McLaren,8.0,95.782,12.0,1.0,7.0,SOFT,True,1,,,True,53.1,27.3,38.4,False,False,False,False,False,2018,13.0,-0.1740000000000066,95.956,96.084,96.797,0.21099999999999852,0.8461538461538461,False,False
ALO,McLaren,9.0,95.789,12.0,1.0,8.0,SOFT,True,1,,,True,52.7,26.9,39.8,False,False,False,False,False,2018,13.0,0.007000000000005002,95.782,95.956,96.084,0.07699999999999818,0.8269230769230769,False,False
ALO,McLaren,10.0,96.137,12.0,1.0,9.0,SOFT,True,1,,,True,52.7,26.9,40.1,False,False,False,False,False,2018,13.0,0.347999999999999,95.789,95.782,95.956,0.10899999999999466,0.8076923076923077,False,False
ALO,McLaren,11.0,95.679,12.0,1.0,10.0,SOFT,True,1,,,True,52.9,26.9,40.7,False,False,False,False,False,2018,13.0,-0.4579999999999984,96.137,95.789,95.782,0.1150000000000091,0.7884615384615384,False,False
ALO,McLaren,12.0,95.717,12.0,1.0,11.0,SOFT,True,1,,,True,53.1,27.2,39.2,False,False,False,False,False,2018,13.0,0.0379999999999967,95.679,96.137,95.789,0.18500000000000227,0.7692307692307693,False,False
ALO,McLaren,13.0,95.481,12.0,1.0,12.0,SOFT,True,1,0 days 00:28:10.220000,,False,53.1,27.5,38.6,False,True,False,False,False,2018,13.0,-0.2360000000000042,95.717,95.679,96.137,-0.22500000000000853,0.75,False,False
ALO,McLaren,14.0,114.202,17.0,2.0,1.0,MEDIUM,True,1,,0 days 00:28:38.858000,False,52.4,27.4,39.3,False,False,True,False,False,2018,13.0,18.721000000000004,95.481,95.717,95.679,18.438000000000002,0.7307692307692307,False,False
ALO,McLaren,15.0,94.773,16.0,2.0,2.0,MEDIUM,True,1,,,True,53.1,27.5,38.3,False,False,False,False,False,2018,13.0,-19.429000000000002,114.202,95.481,95.717,-0.4969999999999999,0.7115384615384616,False,False
ALO,McLaren,16.0,94.775,16.0,2.0,3.0,MEDIUM,True,1,,,True,52.9,27.6,38.5,False,False,False,False,False,2018,13.0,0.0020000000000095497,94.773,114.202,95.481,-0.27899999999999636,0.6923076923076923,False,False
ALO,McLaren,17.0,95.032,16.0,2.0,4.0,MEDIUM,True,1,,,True,52.9,27.6,38.6,False,False,False,False,False,2018,13.0,0.2569999999999908,94.775,94.773,114.202,-0.21000000000000796,0.6730769230769231,False,False
ALO,McLaren,18.0,94.641,15.0,2.0,5.0,MEDIUM,True,1,,,True,52.6,27.3,39.1,False,False,False,False,False,2018,13.0,-0.39099999999999113,95.032,94.775,94.773,-0.5479999999999876,0.6538461538461539,False,False
ALO,McLaren,19.0,94.679,14.0,2.0,6.0,MEDIUM,True,12,,,True,53.4,27.1,39.6,False,False,False,False,False,2018,13.0,0.0379999999999967,94.641,95.032,94.775,-0.08199999999999363,0.6346153846153846,False,False
ALO,McLaren,20.0,95.118,14.0,2.0,7.0,MEDIUM,True,21,,,True,53.1,27.3,39.0,False,False,False,False,False,2018,13.0,0.43899999999999295,94.679,94.641,95.032,0.4994999999999834,0.6153846153846154,False,False
ALO,McLaren,21.0,95.512,13.0,2.0,8.0,MEDIUM,True,1,,,True,53.1,27.6,38.3,False,False,False,False,False,2018,13.0,0.39400000000000546,95.118,94.679,94.641,-0.02599999999999625,0.5961538461538461,False,False
ALO,McLaren,22.0,94.752,12.0,2.0,9.0,MEDIUM,True,1,,,True,53.1,27.6,39.0,False,False,False,False,False,2018,13.0,-0.7600000000000051,95.512,95.118,94.679,-0.06900000000000261,0.5769230769230769,False,False
ALO,McLaren,23.0,94.382,12.0,2.0,10.0,MEDIUM,True,1,,,True,53.2,27.7,38.4,False,False,False,False,False,2018,13.0,-0.36999999999999034,94.752,95.512,95.118,-0.5074999999999932,0.5576923076923077,False,False
ALO,McLaren,24.0,94.57,12.0,2.0,11.0,MEDIUM,True,1,,,True,53.8,28.0,37.1,False,False,False,False,False,2018,13.0,0.18799999999998818,94.382,94.752,95.512,-0.12700000000000955,0.5384615384615384,False,False
ALO,McLaren,25.0,94.621,11.0,2.0,12.0,MEDIUM,True,1,,,True,53.5,28.0,37.1,False,False,False,False,False,2018,13.0,0.05100000000000193,94.57,94.382,94.752,-0.06900000000000261,0.5192307692307693,False,False
ALO,McLaren,26.0,95.269,10.0,2.0,13.0,MEDIUM,True,1,,,True,53.6,27.9,37.5,False,False,False,False,False,2018,13.0,0.6480000000000103,94.621,94.57,94.382,0.10250000000000625,0.5,False,False
ALO,McLaren,27.0,95.062,9.0,2.0,14.0,MEDIUM,True,1,,,True,54.0,28.2,36.7,False,False,False,False,False,2018,13.0,-0.20700000000000784,95.269,94.621,94.57,0.1875,0.4807692307692308,False,False
ALO,McLaren,28.0,94.997,9.0,2.0,15.0,MEDIUM,True,1,,,True,54.1,28.6,36.1,False,False,False,False,False,2018,13.0,-0.06499999999999773,95.062,95.269,94.621,0.33199999999999363,0.46153846153846156,False,False
ALO,McLaren,29.0,94.948,9.0,2.0,16.0,MEDIUM,True,1,,,True,52.1,27.5,38.9,False,False,False,False,False,2018,13.0,-0.049000000000006594,94.997,95.062,95.269,0.2569999999999908,0.4423076923076923,False,False
ALO,McLaren,30.0,94.968,9.0,2.0,17.0,MEDIUM,True,1,,,True,53.0,27.5,38.8,False,False,False,False,False,2018,13.0,0.020000000000010232,94.948,94.997,95.062,0.3785000000000025,0.4230769230769231,False,False
ALO,McLaren,31.0,95.001,9.0,2.0,18.0,MEDIUM,True,1,,,True,53.2,27.6,38.6,False,False,False,False,False,2018,13.0,0.03300000000000125,94.968,94.948,94.997,0.23250000000001592,0.40384615384615385,False,False
ALO,McLaren,32.0,105.571,7.0,2.0,19.0,MEDIUM,True,124,0 days 00:58:43.094000,,False,53.1,27.5,39.1,False,True,False,True,False,2018,13.0,10.569999999999993,95.001,94.968,94.948,-1.8840000000000003,0.38461538461538464,False,False
ALO,McLaren,33.0,143.13,10.0,3.0,3.0,SOFT,False,4,,0 days 00:59:11.161000,False,52.5,27.5,39.1,False,False,True,True,False,2018,13.0,37.559,105.571,95.001,94.968,14.197000000000003,0.36538461538461536,False,True
ALO,McLaren,34.0,103.559,10.0,3.0,4.0,SOFT,False,4,,,False,51.7,28.2,37.6,False,False,False,True,False,2018,13.0,-39.571,143.13,105.571,95.001,-9.748500000000007,0.34615384615384615,False,True
ALO,McLaren,35.0,107.982,10.0,3.0,5.0,SOFT,False,4,,,False,50.8,28.2,37.4,False,False,False,True,False,2018,13.0,4.423000000000002,103.559,143.13,105.571,-3.081000000000003,0.3269230769230769,False,True
ALO,McLaren,36.0,135.599,10.0,3.0,6.0,SOFT,False,4,,,False,49.3,27.5,38.8,False,False,False,True,False,2018,13.0,27.61699999999999,107.982,103.559,143.13,-5.314000000000021,0.3076923076923077,False,True
ALO,McLaren,37.0,135.002,10.0,3.0,7.0,SOFT,False,41,,,False,47.9,27.2,39.6,False,False,False,True,False,2018,13.0,-0.59699999999998,135.599,107.982,103.559,-1.2210000000000036,0.28846153846153844,False,True
ALO,McLaren,38.0,103.55,10.0,3.0,8.0,SOFT,False,124,,,False,49.6,27.1,39.4,False,False,False,True,False,2018,13.0,-31.452000000000012,135.002,135.599,107.982,2.468999999999994,0.2692307692307692,False,True
ALO,McLaren,39.0,143.3,10.0,3.0,9.0,SOFT,False,4,,,False,51.4,27.4,39.2,False,False,False,True,False,2018,13.0,39.750000000000014,103.55,135.002,135.599,-0.1634999999999991,0.25,False,True
ALO,McLaren,40.0,144.432,10.0,3.0,10.0,SOFT,False,4,,,False,52.1,27.4,38.9,False,False,False,True,False,2018,13.0,1.1319999999999766,143.3,103.55,135.002,-0.44599999999999795,0.23076923076923078,False,True
