,LapNumber,LapTime,TyreLife,TrackTemp,Compound,Year,Stint
0,2.0,69.911,4.0,47.4,SOFT,2018,1
1,3.0,69.816,5.0,47.4,SOFT,2018,1
2,4.0,69.706,6.0,47.3,SOFT,2018,1
3,5.0,69.728,7.0,46.9,SOFT,2018,1
4,6.0,69.617,8.0,46.9,SOFT,2018,1
5,7.0,69.405,9.0,47.1,SOFT,2018,1
6,8.0,69.401,10.0,47.1,SOFT,2018,1
7,9.0,69.263,11.0,47.2,SOFT,2018,1
8,10.0,69.32,12.0,47.2,SOFT,2018,1
9,11.0,69.299,13.0,47.0,SOFT,2018,1
10,12.0,69.306,14.0,46.9,SOFT,2018,1
11,13.0,69.785,15.0,46.9,SOFT,2018,1
12,14.0,69.133,16.0,47.0,SOFT,2018,1
13,15.0,87.553,17.0,46.6,SOFT,2018,1
14,16.0,93.857,1.0,46.7,SOFT,2018,2
15,17.0,68.687,2.0,46.6,SOFT,2018,2
16,18.0,68.682,3.0,46.7,SOFT,2018,2
17,19.0,68.736,4.0,46.7,SOFT,2018,2
18,20.0,69.037,5.0,46.7,SOFT,2018,2
19,21.0,68.445,6.0,46.6,SOFT,2018,2
20,22.0,68.557,7.0,46.4,SOFT,2018,2
21,23.0,68.451,8.0,45.3,SOFT,2018,2
22,24.0,68.429,9.0,44.6,SOFT,2018,2
23,25.0,68.365,10.0,45.1,SOFT,2018,2
24,26.0,68.509,11.0,45.2,SOFT,2018,2
25,27.0,68.351,12.0,45.2,SOFT,2018,2
26,28.0,68.461,13.0,45.4,SOFT,2018,2
27,29.0,68.784,14.0,45.5,SOFT,2018,2
28,30.0,68.376,15.0,45.4,SOFT,2018,2
29,31.0,68.302,16.0,45.5,SOFT,2018,2
30,32.0,68.417,17.0,46.1,SOFT,2018,2
31,33.0,68.475,18.0,46.1,SOFT,2018,2
32,34.0,68.689,19.0,45.7,SOFT,2018,2
33,35.0,68.594,20.0,45.7,SOFT,2018,2
34,36.0,68.428,21.0,45.7,SOFT,2018,2
35,37.0,68.912,22.0,45.7,SOFT,2018,2
36,38.0,68.815,23.0,45.6,SOFT,2018,2
37,39.0,68.566,24.0,45.9,SOFT,2018,2
38,40.0,68.719,25.0,46.0,SOFT,2018,2
39,41.0,68.713,26.0,46.1,SOFT,2018,2
40,42.0,68.471,27.0,46.0,SOFT,2018,2
41,43.0,68.558,28.0,45.2,SOFT,2018,2
42,44.0,68.873,29.0,45.0,SOFT,2018,2
43,45.0,68.371,30.0,45.4,SOFT,2018,2
44,46.0,68.134,31.0,45.0,SOFT,2018,2
45,47.0,68.181,32.0,45.1,SOFT,2018,2
46,48.0,68.384,33.0,45.2,SOFT,2018,2
47,49.0,68.203,34.0,45.2,SOFT,2018,2
48,50.0,68.265,35.0,45.2,SOFT,2018,2
49,51.0,68.037,36.0,44.9,SOFT,2018,2
50,52.0,67.999,37.0,44.8,SOFT,2018,2
51,53.0,68.212,38.0,45.1,SOFT,2018,2
52,54.0,68.415,39.0,45.2,SOFT,2018,2
53,55.0,68.291,40.0,45.3,SOFT,2018,2
54,56.0,68.087,41.0,45.4,SOFT,2018,2
55,57.0,68.055,42.0,45.0,SOFT,2018,2
56,58.0,67.941,43.0,44.8,SOFT,2018,2
57,59.0,67.825,44.0,44.8,SOFT,2018,2
58,60.0,67.703,45.0,44.9,SOFT,2018,2
59,61.0,67.925,46.0,44.9,SOFT,2018,2
60,62.0,67.861,47.0,44.8,SOFT,2018,2
61,63.0,67.828,48.0,44.8,SOFT,2018,2
62,64.0,68.359,49.0,44.6,SOFT,2018,2
63,65.0,68.042,50.0,44.6,SOFT,2018,2
64,66.0,67.634,51.0,44.6,SOFT,2018,2
65,67.0,67.558,52.0,44.5,SOFT,2018,2
66,68.0,67.469,53.0,44.4,SOFT,2018,2
67,69.0,67.449,54.0,44.9,SOFT,2018,2
68,70.0,67.442,55.0,44.9,SOFT,2018,2
69,71.0,67.623,56.0,44.6,SOFT,2018,2
70,1.0,76.629,4.0,51.2,MEDIUM,2019,1
71,2.0,71.495,5.0,51.0,MEDIUM,2019,1
72,3.0,70.999,6.0,51.3,MEDIUM,2019,1
73,4.0,71.1,7.0,51.3,MEDIUM,2019,1
74,5.0,70.839,8.0,51.2,MEDIUM,2019,1
75,6.0,70.436,9.0,51.4,MEDIUM,2019,1
