LapNumber,LapTime,Year
1.0,75.229,2018
2.0,69.911,2018
3.0,69.816,2018
4.0,69.706,2018
5.0,69.728,2018
6.0,69.617,2018
7.0,69.405,2018
8.0,69.401,2018
9.0,69.263,2018
10.0,69.32,2018
11.0,69.299,2018
12.0,69.306,2018
13.0,69.785,2018
14.0,69.133,2018
15.0,87.553,2018
16.0,93.857,2018
17.0,68.687,2018
18.0,68.682,2018
19.0,68.736,2018
20.0,69.037,2018
21.0,68.445,2018
22.0,68.557,2018
23.0,68.451,2018
24.0,68.429,2018
25.0,68.365,2018
26.0,68.509,2018
27.0,68.351,2018
28.0,68.461,2018
29.0,68.784,2018
30.0,68.376,2018
31.0,68.302,2018
32.0,68.417,2018
33.0,68.475,2018
34.0,68.689,2018
35.0,68.594,2018
36.0,68.428,2018
37.0,68.912,2018
38.0,68.815,2018
39.0,68.566,2018
40.0,68.719,2018
41.0,68.713,2018
42.0,68.471,2018
43.0,68.558,2018
44.0,68.873,2018
45.0,68.371,2018
46.0,68.134,2018
47.0,68.181,2018
48.0,68.384,2018
49.0,68.203,2018
50.0,68.265,2018
51.0,68.037,2018
52.0,67.999,2018
53.0,68.212,2018
54.0,68.415,2018
55.0,68.291,2018
56.0,68.087,2018
57.0,68.055,2018
58.0,67.941,2018
59.0,67.825,2018
60.0,67.703,2018
61.0,67.925,2018
62.0,67.861,2018
63.0,67.828,2018
64.0,68.359,2018
65.0,68.042,2018
66.0,67.634,2018
67.0,67.558,2018
68.0,67.469,2018
69.0,67.449,2018
70.0,67.442,2018
71.0,67.623,2018
1.0,76.629,2019
2.0,71.495,2019
3.0,70.999,2019
4.0,71.1,2019
5.0,70.839,2019
6.0,70.436,2019
7.0,69.743,2019
8.0,70.574,2019
9.0,69.944,2019
10.0,69.871,2019
11.0,69.612,2019
12.0,69.564,2019
13.0,69.744,2019
14.0,69.7,2019
15.0,69.614,2019
16.0,69.252,2019
17.0,69.304,2019
18.0,69.217,2019
19.0,69.234,2019
20.0,69.273,2019
21.0,69.346,2019
22.0,69.187,2019
23.0,69.41,2019
24.0,69.16,2019
25.0,69.266,2019
26.0,69.229,2019
27.0,69.144,2019
28.0,69.148,2019
29.0,69.35,2019
30.0,69.468,2019
31.0,72.701,2019
32.0,85.521,2019
33.0,68.783,2019
34.0,68.717,2019
35.0,68.709,2019
36.0,68.655,2019
37.0,68.617,2019
38.0,68.502,2019
39.0,68.373,2019
