LapNumber,LapTime,TyreLife,TrackTemp,Compound,Year
2.0,69.911,4.0,47.4,SOFT,2018
3.0,69.816,5.0,47.4,SOFT,2018
4.0,69.706,6.0,47.3,SOFT,2018
5.0,69.728,7.0,46.9,SOFT,2018
6.0,69.617,8.0,46.9,SOFT,2018
7.0,69.405,9.0,47.1,SOFT,2018
8.0,69.401,10.0,47.1,SOFT,2018
9.0,69.263,11.0,47.2,SOFT,2018
10.0,69.32,12.0,47.2,SOFT,2018
11.0,69.299,13.0,47.0,SOFT,2018
12.0,69.306,14.0,46.9,SOFT,2018
13.0,69.785,15.0,46.9,SOFT,2018
14.0,69.133,16.0,47.0,SOFT,2018
15.0,87.553,17.0,46.6,SOFT,2018
16.0,93.857,1.0,46.7,SOFT,2018
17.0,68.687,2.0,46.6,SOFT,2018
18.0,68.682,3.0,46.7,SOFT,2018
19.0,68.736,4.0,46.7,SOFT,2018
20.0,69.037,5.0,46.7,SOFT,2018
21.0,68.445,6.0,46.6,SOFT,2018
22.0,68.557,7.0,46.4,SOFT,2018
23.0,68.451,8.0,45.3,SOFT,2018
24.0,68.429,9.0,44.6,SOFT,2018
25.0,68.365,10.0,45.1,SOFT,2018
26.0,68.509,11.0,45.2,SOFT,2018
27.0,68.351,12.0,45.2,SOFT,2018
28.0,68.461,13.0,45.4,SOFT,2018
29.0,68.784,14.0,45.5,SOFT,2018
30.0,68.376,15.0,45.4,SOFT,2018
31.0,68.302,16.0,45.5,SOFT,2018
32.0,68.417,17.0,46.1,SOFT,2018
33.0,68.475,18.0,46.1,SOFT,2018
34.0,68.689,19.0,45.7,SOFT,2018
35.0,68.594,20.0,45.7,SOFT,2018
36.0,68.428,21.0,45.7,SOFT,2018
37.0,68.912,22.0,45.7,SOFT,2018
38.0,68.815,23.0,45.6,SOFT,2018
39.0,68.566,24.0,45.9,SOFT,2018
40.0,68.719,25.0,46.0,SOFT,2018
41.0,68.713,26.0,46.1,SOFT,2018
42.0,68.471,27.0,46.0,SOFT,2018
43.0,68.558,28.0,45.2,SOFT,2018
44.0,68.873,29.0,45.0,SOFT,2018
45.0,68.371,30.0,45.4,SOFT,2018
46.0,68.134,31.0,45.0,SOFT,2018
47.0,68.181,32.0,45.1,SOFT,2018
48.0,68.384,33.0,45.2,SOFT,2018
49.0,68.203,34.0,45.2,SOFT,2018
50.0,68.265,35.0,45.2,SOFT,2018
51.0,68.037,36.0,44.9,SOFT,2018
52.0,67.999,37.0,44.8,SOFT,2018
53.0,68.212,38.0,45.1,SOFT,2018
54.0,68.415,39.0,45.2,SOFT,2018
55.0,68.291,40.0,45.3,SOFT,2018
56.0,68.087,41.0,45.4,SOFT,2018
57.0,68.055,42.0,45.0,SOFT,2018
58.0,67.941,43.0,44.8,SOFT,2018
59.0,67.825,44.0,44.8,SOFT,2018
60.0,67.703,45.0,44.9,SOFT,2018
61.0,67.925,46.0,44.9,SOFT,2018
62.0,67.861,47.0,44.8,SOFT,2018
63.0,67.828,48.0,44.8,SOFT,2018
64.0,68.359,49.0,44.6,SOFT,2018
65.0,68.042,50.0,44.6,SOFT,2018
66.0,67.634,51.0,44.6,SOFT,2018
67.0,67.558,52.0,44.5,SOFT,2018
68.0,67.469,53.0,44.4,SOFT,2018
69.0,67.449,54.0,44.9,SOFT,2018
70.0,67.442,55.0,44.9,SOFT,2018
71.0,67.623,56.0,44.6,SOFT,2018
1.0,76.629,4.0,51.2,MEDIUM,2019
2.0,71.495,5.0,51.0,MEDIUM,2019
3.0,70.999,6.0,51.3,MEDIUM,2019
4.0,71.1,7.0,51.3,MEDIUM,2019
5.0,70.839,8.0,51.2,MEDIUM,2019
6.0,70.436,9.0,51.4,MEDIUM,2019
7.0,69.743,10.0,51.3,MEDIUM,2019
8.0,70.574,11.0,51.1,MEDIUM,2019
9.0,69.944,12.0,51.1,MEDIUM,2019
10.0,69.871,13.0,51.1,MEDIUM,2019
11.0,69.612,14.0,51.1,MEDIUM,2019
12.0,69.564,15.0,51.0,MEDIUM,2019
13.0,69.744,16.0,50.8,MEDIUM,2019
14.0,69.7,17.0,50.8,MEDIUM,2019
15.0,69.614,18.0,50.8,MEDIUM,2019
16.0,69.252,19.0,50.7,MEDIUM,2019
17.0,69.304,20.0,50.7,MEDIUM,2019
18.0,69.217,21.0,50.7,MEDIUM,2019
19.0,69.234,22.0,50.8,MEDIUM,2019
20.0,69.273,23.0,50.7,MEDIUM,2019
21.0,69.346,24.0,50.7,MEDIUM,2019
22.0,69.187,25.0,50.5,MEDIUM,2019
23.0,69.41,26.0,50.5,MEDIUM,2019
24.0,69.16,27.0,50.5,MEDIUM,2019
25.0,69.266,28.0,50.5,MEDIUM,2019
26.0,69.229,29.0,50.9,MEDIUM,2019
27.0,69.144,30.0,50.9,MEDIUM,2019
28.0,69.148,31.0,50.9,MEDIUM,2019
29.0,69.35,32.0,51.0,MEDIUM,2019
30.0,69.468,33.0,51.0,MEDIUM,2019
31.0,72.701,34.0,51.0,MEDIUM,2019
32.0,85.521,1.0,50.9,HARD,2019
33.0,68.783,2.0,50.9,HARD,2019
34.0,68.717,3.0,50.8,HARD,2019
35.0,68.709,4.0,50.6,HARD,2019
36.0,68.655,5.0,50.6,HARD,2019
37.0,68.617,6.0,50.5,HARD,2019
38.0,68.502,7.0,50.3,HARD,2019
39.0,68.373,8.0,50.3,HARD,2019
40.0,68.512,9.0,50.3,HARD,2019
41.0,68.646,10.0,50.3,HARD,2019
42.0,68.659,11.0,50.3,HARD,2019
43.0,68.317,12.0,50.3,HARD,2019
44.0,68.165,13.0,50.4,HARD,2019
45.0,68.265,14.0,50.5,HARD,2019
46.0,68.432,15.0,50.3,HARD,2019
47.0,68.751,16.0,50.2,HARD,2019
48.0,69.022,17.0,50.2,HARD,2019
49.0,68.927,18.0,50.2,HARD,2019
50.0,67.844,19.0,50.2,HARD,2019
51.0,68.236,20.0,50.0,HARD,2019
52.0,68.413,21.0,50.0,HARD,2019
53.0,68.474,22.0,50.0,HARD,2019
54.0,68.283,23.0,50.1,HARD,2019
55.0,69.005,24.0,50.1,HARD,2019
56.0,67.93,25.0,49.9,HARD,2019
57.0,68.279,26.0,49.8,HARD,2019
58.0,67.766,27.0,49.8,HARD,2019
59.0,68.079,28.0,49.8,HARD,2019
60.0,67.475,29.0,49.7,HARD,2019
61.0,67.75,30.0,49.7,HARD,2019
62.0,67.784,31.0,49.7,HARD,2019
63.0,67.874,32.0,49.7,HARD,2019
64.0,67.592,33.0,49.7,HARD,2019
65.0,67.605,34.0,49.6,HARD,2019
66.0,67.911,35.0,49.6,HARD,2019
67.0,68.981,36.0,49.6,HARD,2019
68.0,69.276,37.0,49.5,HARD,2019
69.0,68.176,38.0,49.5,HARD,2019
70.0,67.944,39.0,49.3,HARD,2019
71.0,68.019,40.0,49.3,HARD,2019
1.0,73.501,6.0,54.1,MEDIUM,2020
2.0,69.859,7.0,54.1,MEDIUM,2020
3.0,69.38,8.0,54.0,MEDIUM,2020
4.0,69.428,9.0,54.1,MEDIUM,2020
5.0,69.351,10.0,54.7,MEDIUM,2020
6.0,69.469,11.0,53.6,MEDIUM,2020
7.0,69.577,12.0,53.4,MEDIUM,2020
8.0,69.538,13.0,53.2,MEDIUM,2020
9.0,69.459,14.0,53.5,MEDIUM,2020
10.0,138.665,15.0,53.5,MEDIUM,2020
1.0,87.835,4.0,33.9,MEDIUM,2021
2.0,112.329,5.0,34.2,MEDIUM,2021
3.0,116.564,6.0,34.9,MEDIUM,2021
4.0,69.799,7.0,34.4,MEDIUM,2021
5.0,69.735,8.0,34.7,MEDIUM,2021
6.0,69.451,9.0,34.6,MEDIUM,2021
7.0,69.282,10.0,34.6,MEDIUM,2021
8.0,69.327,11.0,34.4,MEDIUM,2021
9.0,69.218,12.0,34.7,MEDIUM,2021
10.0,69.091,13.0,34.7,MEDIUM,2021
11.0,69.132,14.0,34.7,MEDIUM,2021
12.0,69.145,15.0,34.7,MEDIUM,2021
13.0,69.126,16.0,34.7,MEDIUM,2021
14.0,69.1,17.0,34.5,MEDIUM,2021
15.0,69.074,18.0,34.2,MEDIUM,2021
16.0,69.07,19.0,34.5,MEDIUM,2021
17.0,69.071,20.0,35.6,MEDIUM,2021
18.0,69.206,21.0,35.9,MEDIUM,2021
19.0,69.274,22.0,36.3,MEDIUM,2021
20.0,69.355,23.0,36.7,MEDIUM,2021
21.0,69.252,24.0,35.4,MEDIUM,2021
22.0,69.328,25.0,35.1,MEDIUM,2021
23.0,69.494,26.0,35.1,MEDIUM,2021
24.0,69.5,27.0,35.1,MEDIUM,2021
25.0,68.882,28.0,34.7,MEDIUM,2021
26.0,69.611,29.0,34.7,MEDIUM,2021
27.0,69.323,30.0,35.0,MEDIUM,2021
28.0,69.304,31.0,35.1,MEDIUM,2021
29.0,69.498,32.0,34.9,MEDIUM,2021
30.0,69.515,33.0,34.8,MEDIUM,2021
31.0,69.63,34.0,34.9,MEDIUM,2021
32.0,73.134,35.0,35.0,MEDIUM,2021
33.0,85.451,1.0,34.7,HARD,2021
34.0,68.473,2.0,35.1,HARD,2021
35.0,68.728,3.0,35.1,HARD,2021
36.0,68.769,4.0,34.7,HARD,2021
37.0,68.904,5.0,34.8,HARD,2021
38.0,68.714,6.0,34.9,HARD,2021
39.0,68.641,7.0,34.8,HARD,2021
40.0,69.147,8.0,34.6,HARD,2021
41.0,68.887,9.0,34.5,HARD,2021
42.0,68.822,10.0,34.3,HARD,2021
43.0,68.887,11.0,33.8,HARD,2021
44.0,68.88,12.0,34.2,HARD,2021
45.0,69.429,13.0,34.2,HARD,2021
46.0,68.833,14.0,34.0,HARD,2021
47.0,68.81,15.0,34.2,HARD,2021
48.0,68.86,16.0,34.2,HARD,2021
49.0,68.769,17.0,34.2,HARD,2021
50.0,68.61,18.0,34.2,HARD,2021
51.0,68.439,19.0,34.2,HARD,2021
52.0,68.489,20.0,34.2,HARD,2021
53.0,68.173,21.0,34.2,HARD,2021
54.0,68.237,22.0,34.6,HARD,2021
55.0,68.147,23.0,34.6,HARD,2021
56.0,68.012,24.0,34.8,HARD,2021
57.0,67.992,25.0,34.6,HARD,2021
58.0,67.835,26.0,34.2,HARD,2021
59.0,68.106,27.0,33.8,HARD,2021
60.0,71.722,28.0,33.9,HARD,2021
61.0,85.09,1.0,33.9,HARD,2021
62.0,66.2,2.0,33.8,HARD,2021
63.0,68.549,3.0,34.0,HARD,2021
64.0,68.172,4.0,34.1,HARD,2021
65.0,67.947,5.0,34.1,HARD,2021
66.0,67.95,6.0,34.1,HARD,2021
67.0,67.78,7.0,34.4,HARD,2021
68.0,67.975,8.0,34.5,HARD,2021
69.0,67.86,9.0,34.5,HARD,2021
70.0,67.862,10.0,34.7,HARD,2021
71.0,67.737,11.0,34.8,HARD,2021
1.0,72.722,1.0,30.3,MEDIUM,2022
2.0,70.373,2.0,30.3,MEDIUM,2022
3.0,70.165,3.0,30.3,MEDIUM,2022
4.0,70.128,4.0,30.4,MEDIUM,2022
5.0,70.26,5.0,30.2,MEDIUM,2022
6.0,70.357,6.0,29.9,MEDIUM,2022
7.0,70.559,7.0,29.9,MEDIUM,2022
8.0,70.763,8.0,29.4,MEDIUM,2022
9.0,70.847,9.0,29.6,MEDIUM,2022
10.0,71.396,10.0,30.4,MEDIUM,2022
11.0,70.918,11.0,30.8,MEDIUM,2022
12.0,71.912,12.0,29.8,MEDIUM,2022
13.0,74.194,13.0,29.8,MEDIUM,2022
14.0,87.886,1.0,29.5,HARD,2022
15.0,70.365,2.0,29.1,HARD,2022
16.0,70.024,3.0,29.0,HARD,2022
17.0,70.361,4.0,29.0,HARD,2022
18.0,70.46,5.0,28.8,HARD,2022
19.0,69.895,6.0,28.5,HARD,2022
20.0,69.895,7.0,28.5,HARD,2022
21.0,69.936,8.0,28.8,HARD,2022
22.0,69.846,9.0,28.8,HARD,2022
23.0,70.103,10.0,29.3,HARD,2022
24.0,70.457,11.0,29.8,HARD,2022
25.0,70.715,12.0,29.8,HARD,2022
26.0,70.312,13.0,29.4,HARD,2022
27.0,70.355,14.0,29.9,HARD,2022
28.0,70.572,15.0,30.4,HARD,2022
29.0,70.485,16.0,30.4,HARD,2022
30.0,70.609,17.0,31.1,HARD,2022
31.0,70.897,18.0,31.6,HARD,2022
32.0,71.073,19.0,31.2,HARD,2022
33.0,71.636,20.0,31.2,HARD,2022
34.0,71.19,21.0,31.9,HARD,2022
35.0,71.173,22.0,32.3,HARD,2022
36.0,74.594,23.0,32.9,HARD,2022
37.0,86.913,1.0,33.6,HARD,2022
38.0,69.226,2.0,33.6,HARD,2022
39.0,69.636,3.0,33.6,HARD,2022
40.0,69.809,4.0,33.2,HARD,2022
41.0,69.971,5.0,33.2,HARD,2022
42.0,69.84,6.0,33.1,HARD,2022
43.0,69.863,7.0,33.5,HARD,2022
44.0,69.642,8.0,33.8,HARD,2022
45.0,69.766,9.0,34.3,HARD,2022
46.0,70.104,10.0,34.3,HARD,2022
47.0,69.989,11.0,34.3,HARD,2022
48.0,70.17,12.0,34.1,HARD,2022
49.0,70.244,13.0,34.3,HARD,2022
50.0,70.347,14.0,34.4,HARD,2022
51.0,70.232,15.0,34.4,HARD,2022
52.0,70.193,16.0,34.0,HARD,2022
53.0,70.828,17.0,33.8,HARD,2022
54.0,70.265,18.0,32.6,HARD,2022
55.0,70.109,19.0,32.3,HARD,2022
56.0,69.733,20.0,31.9,HARD,2022
57.0,69.843,21.0,31.8,HARD,2022
58.0,84.577,22.0,31.7,HARD,2022
1.0,77.639,1.0,32.0,MEDIUM,2023
2.0,115.479,2.0,32.1,MEDIUM,2023
3.0,124.721,3.0,33.0,MEDIUM,2023
4.0,69.691,4.0,34.3,MEDIUM,2023
5.0,70.026,5.0,34.3,MEDIUM,2023
6.0,70.156,6.0,33.8,MEDIUM,2023
7.0,70.168,7.0,33.6,MEDIUM,2023
8.0,69.967,8.0,33.4,MEDIUM,2023
9.0,69.989,9.0,33.6,MEDIUM,2023
10.0,69.856,10.0,34.0,MEDIUM,2023
11.0,70.051,11.0,34.1,MEDIUM,2023
12.0,69.833,12.0,34.1,MEDIUM,2023
13.0,70.196,13.0,34.2,MEDIUM,2023
14.0,73.573,14.0,34.5,MEDIUM,2023
15.0,93.592,15.0,34.4,MEDIUM,2023
16.0,79.611,16.0,34.1,MEDIUM,2023
17.0,69.924,17.0,34.0,MEDIUM,2023
18.0,70.002,18.0,32.6,MEDIUM,2023
19.0,69.942,19.0,32.7,MEDIUM,2023
20.0,70.16,20.0,32.4,MEDIUM,2023
21.0,70.142,21.0,32.8,MEDIUM,2023
22.0,70.337,22.0,32.8,MEDIUM,2023
23.0,70.396,23.0,32.5,MEDIUM,2023
24.0,73.519,24.0,32.6,MEDIUM,2023
25.0,86.769,1.0,32.5,HARD,2023
26.0,68.929,2.0,32.5,HARD,2023
27.0,69.245,3.0,32.5,HARD,2023
28.0,69.251,4.0,32.1,HARD,2023
29.0,69.289,5.0,31.5,HARD,2023
30.0,69.373,6.0,31.9,HARD,2023
31.0,69.576,7.0,32.2,HARD,2023
32.0,69.603,8.0,32.2,HARD,2023
33.0,69.631,9.0,32.1,HARD,2023
34.0,69.779,10.0,31.9,HARD,2023
35.0,69.265,11.0,31.7,HARD,2023
36.0,69.367,12.0,31.7,HARD,2023
37.0,69.707,13.0,31.5,HARD,2023
38.0,69.568,14.0,31.4,HARD,2023
39.0,69.386,15.0,31.4,HARD,2023
40.0,69.431,16.0,31.3,HARD,2023
41.0,69.527,17.0,31.3,HARD,2023
42.0,69.511,18.0,31.2,HARD,2023
43.0,69.592,19.0,31.0,HARD,2023
44.0,69.678,20.0,31.0,HARD,2023
45.0,69.651,21.0,30.7,HARD,2023
46.0,69.563,22.0,30.7,HARD,2023
47.0,69.451,23.0,31.0,HARD,2023
48.0,69.419,24.0,31.5,HARD,2023
49.0,73.176,25.0,31.6,HARD,2023
50.0,86.268,1.0,31.7,MEDIUM,2023
51.0,68.15,2.0,31.5,MEDIUM,2023
52.0,68.342,3.0,31.5,MEDIUM,2023
53.0,68.235,4.0,31.1,MEDIUM,2023
54.0,68.25,5.0,31.1,MEDIUM,2023
55.0,68.273,6.0,31.1,MEDIUM,2023
56.0,68.35,7.0,31.1,MEDIUM,2023
57.0,68.412,8.0,31.1,MEDIUM,2023
58.0,68.489,9.0,31.1,MEDIUM,2023
59.0,68.609,10.0,31.5,MEDIUM,2023
60.0,68.535,11.0,31.6,MEDIUM,2023
61.0,68.485,12.0,31.8,MEDIUM,2023
62.0,68.567,13.0,31.8,MEDIUM,2023
63.0,68.624,14.0,31.8,MEDIUM,2023
64.0,68.692,15.0,32.1,MEDIUM,2023
65.0,68.878,16.0,32.1,MEDIUM,2023
66.0,68.601,17.0,32.0,MEDIUM,2023
67.0,68.854,18.0,31.4,MEDIUM,2023
68.0,69.216,19.0,31.4,MEDIUM,2023
69.0,72.228,20.0,31.3,MEDIUM,2023
70.0,87.83,4.0,31.1,SOFT,2023
71.0,67.012,5.0,31.5,SOFT,2023
1.0,72.05,1.0,47.2,MEDIUM,2024
2.0,69.938,2.0,47.3,MEDIUM,2024
3.0,69.857,3.0,48.1,MEDIUM,2024
4.0,69.903,4.0,48.1,MEDIUM,2024
5.0,70.005,5.0,48.2,MEDIUM,2024
6.0,70.238,6.0,48.2,MEDIUM,2024
7.0,70.22,7.0,48.4,MEDIUM,2024
8.0,70.331,8.0,48.6,MEDIUM,2024
9.0,70.6,9.0,48.7,MEDIUM,2024
10.0,70.596,10.0,48.7,MEDIUM,2024
11.0,70.562,11.0,49.0,MEDIUM,2024
12.0,70.512,12.0,48.7,MEDIUM,2024
13.0,70.955,13.0,48.2,MEDIUM,2024
14.0,70.707,14.0,48.0,MEDIUM,2024
15.0,71.028,15.0,48.6,MEDIUM,2024
16.0,70.957,16.0,48.2,MEDIUM,2024
17.0,70.981,17.0,48.1,MEDIUM,2024
18.0,71.364,18.0,48.0,MEDIUM,2024
19.0,71.515,19.0,47.8,MEDIUM,2024
20.0,71.548,20.0,47.8,MEDIUM,2024
21.0,71.3,21.0,48.3,MEDIUM,2024
22.0,71.549,22.0,48.3,MEDIUM,2024
23.0,74.679,23.0,48.2,MEDIUM,2024
24.0,87.394,1.0,47.3,HARD,2024
25.0,69.766,2.0,47.3,HARD,2024
26.0,69.506,3.0,46.9,HARD,2024
27.0,69.451,4.0,47.1,HARD,2024
28.0,69.581,5.0,46.5,HARD,2024
29.0,69.696,6.0,46.5,HARD,2024
30.0,69.661,7.0,45.0,HARD,2024
31.0,69.696,8.0,44.8,HARD,2024
32.0,69.576,9.0,44.8,HARD,2024
33.0,69.455,10.0,44.3,HARD,2024
34.0,69.482,11.0,44.2,HARD,2024
35.0,69.958,12.0,44.3,HARD,2024
36.0,69.907,13.0,45.0,HARD,2024
37.0,70.12,14.0,46.0,HARD,2024
38.0,70.143,15.0,46.3,HARD,2024
39.0,70.258,16.0,47.3,HARD,2024
40.0,70.217,17.0,48.0,HARD,2024
41.0,71.114,18.0,48.0,HARD,2024
42.0,70.628,19.0,47.8,HARD,2024
43.0,70.904,20.0,48.0,HARD,2024
44.0,70.479,21.0,47.6,HARD,2024
45.0,70.349,22.0,46.2,HARD,2024
46.0,70.288,23.0,45.8,HARD,2024
47.0,70.658,24.0,44.6,HARD,2024
48.0,70.36,25.0,44.1,HARD,2024
49.0,70.543,26.0,44.9,HARD,2024
50.0,70.738,27.0,45.2,HARD,2024
51.0,73.86,28.0,45.5,HARD,2024
52.0,91.585,4.0,44.7,MEDIUM,2024
53.0,68.772,5.0,44.5,MEDIUM,2024
54.0,68.789,6.0,44.0,MEDIUM,2024
55.0,69.213,7.0,43.9,MEDIUM,2024
56.0,68.623,8.0,43.8,MEDIUM,2024
57.0,68.975,9.0,43.7,MEDIUM,2024
58.0,69.183,10.0,43.8,MEDIUM,2024
59.0,70.646,11.0,45.0,MEDIUM,2024
60.0,69.399,12.0,45.9,MEDIUM,2024
61.0,70.003,13.0,45.9,MEDIUM,2024
62.0,69.528,14.0,45.5,MEDIUM,2024
63.0,70.412,15.0,46.2,MEDIUM,2024
64.0,98.003,16.0,46.2,MEDIUM,2024
65.0,93.697,4.0,46.2,SOFT,2024
66.0,83.719,5.0,46.5,SOFT,2024
67.0,71.691,6.0,46.0,SOFT,2024
68.0,67.719,7.0,45.7,SOFT,2024
69.0,68.321,8.0,44.3,SOFT,2024
70.0,68.072,9.0,43.8,SOFT,2024
71.0,68.518,10.0,43.8,SOFT,2024
